"球員名稱","球隊","狀態","G","GS","GR","CG","SHO","NBB","W","L","SV","BS","HLD","IP","WHIP","ERA","BF","NP","H","HR","BB","IBB","HBP","SO","WP","BK","R","ER","GO","AO","G/F"
" 蔡 璟 豪","Lamigo","二軍",5,0,5,0,0,0,0,0,0,0,0,9.1,1.71,7.71,43,162,9,1,7,0,2,5,0,0,8,8,10,10,1
" 鄭 承 浩","Lamigo","二軍",28,1,27,0,0,0,2,1,0,0,3,36,1.61,6,166,581,47,6,11,0,3,19,1,0,25,24,43,43,1
" 鄭 凱 文","中信兄弟","二軍",22,19,3,0,0,0,7,8,0,0,1,118.2,1.53,4.93,531,1976,153,8,29,0,9,95,4,0,76,65,121,124,0.976
" 鄭 錡 鴻","中信兄弟","一軍",20,13,7,0,0,0,5,2,0,2,2,66.2,1.72,5.8,313,1215,81,4,34,2,4,50,4,1,48,43,95,47,2.021
" 蕭 一 傑","義大","二軍",19,0,19,0,0,0,1,0,0,0,1,27,1.56,5.33,125,447,33,3,9,0,1,20,2,0,20,16,29,33,0.879
" 賴 鴻 誠","義大","一軍",45,0,45,0,0,0,4,2,1,2,13,45,1.49,4,196,752,42,10,25,0,1,32,3,0,24,20,56,40,1.4
" 戴 倫","統一7-ELEVEn","一軍",4,4,0,0,0,0,0,2,0,0,0,19.2,1.83,7.32,91,347,26,3,10,0,1,19,1,0,18,16,24,11,2.182
" 謝 榮 豪","中信兄弟","二軍",17,0,17,0,0,0,0,1,0,1,8,17,1.41,4.76,74,287,22,3,2,2,1,10,0,0,10,9,20,17,1.176
" 簡 嘉 佑","義大","二軍",3,0,3,0,0,0,0,0,0,0,0,4,1.75,4.5,18,70,6,0,1,0,0,0,0,0,2,2,7,4,1.75
" 藍 斯 佛","義大","一軍",19,14,5,0,0,0,2,4,0,0,1,77,1.52,5.49,343,1370,92,15,25,0,3,81,5,0,51,47,68,74,0.919
" 羅 力","義大","一軍",25,23,2,0,0,0,10,10,0,0,0,146.1,1.48,4.67,642,2421,170,21,46,0,6,118,4,0,89,76,182,120,1.517
" 羅 國 華","中信兄弟","二軍",5,0,5,0,0,0,0,0,0,0,0,4,1.5,6.75,18,73,5,2,1,0,0,2,0,0,3,3,2,8,0.25
" 羅 曼","Lamigo","一軍",28,19,9,0,0,0,11,4,0,0,2,123,1.38,4.83,542,2105,125,15,45,0,8,116,7,0,76,66,135,113,1.195
" 羅 華 韋","義大","一軍",31,0,31,0,0,0,1,1,1,1,4,28,2.21,6.75,139,538,39,4,23,0,2,11,2,0,23,21,41,23,1.783
" 蘇 俊 羽","Lamigo","二軍",1,0,1,0,0,0,0,0,0,0,0,1.1,3.75,33.75,10,41,4,0,1,0,1,2,0,0,5,5,2,0,0
"* 史 密 斯","Lamigo","一軍",9,8,1,0,0,0,1,5,0,0,0,44.2,1.79,8.46,216,774,65,9,15,0,5,31,0,0,48,42,54,46,1.174
"* 吉 爾","統一7-ELEVEn","一軍",17,16,1,0,0,0,6,7,0,0,1,90.1,1.58,5.38,412,1526,115,13,28,0,1,67,3,0,66,54,118,83,1.422
"* 希 克","中信兄弟","一軍",11,11,0,0,0,0,3,4,0,0,0,53.2,1.92,7.55,267,1097,75,6,28,0,7,62,6,0,55,45,46,49,0.939
"* 肯 恩","中信兄弟","一軍",2,2,0,0,0,0,0,2,0,0,0,6.1,2.21,11.37,33,150,9,1,5,0,1,6,2,0,10,8,9,3,3
"* 悍 德","中信兄弟","一軍",4,4,0,0,0,0,1,0,0,0,0,17,2.35,9,92,332,35,3,5,0,0,11,0,0,23,17,19,22,0.864
"* 拿 威","Lamigo","一軍",13,10,3,0,0,0,7,3,0,0,1,57.1,1.85,6.12,279,1131,72,10,34,0,4,53,5,0,43,39,74,42,1.762
"* 索 爾","Lamigo","一軍",15,10,5,0,0,0,4,5,0,1,1,66.1,1.72,6.38,318,1205,87,8,27,0,7,55,2,1,55,47,76,66,1.152
"* 凱 力","統一7-ELEVEn","一軍",15,0,15,0,0,0,2,2,3,2,2,19.1,1.29,4.19,84,309,21,4,4,1,1,20,0,0,9,9,15,22,0.682
"* 歐 文","中信兄弟","一軍",10,10,0,0,0,0,4,3,0,0,0,57.1,1.5,6.59,260,975,71,7,15,0,6,52,1,0,43,42,71,45,1.578
"* 潘 力","義大","一軍",8,0,8,0,0,0,0,1,2,0,1,6.1,2.53,12.79,34,123,14,2,2,0,0,5,2,0,9,9,6,7,0.857
"* 魔 力","中信兄弟","一軍",26,9,17,0,0,0,4,4,1,1,3,68.2,1.79,6.55,337,1213,91,5,32,0,7,65,7,0,61,50,78,64,1.219
