"球員名稱","球隊","狀態","G","PA","AB","RBI","R","H","1B","2B","3B","HR","TB","SO","SB","OBP","SLG","AVG","GIDP","SAC","SF","BB","IBB","HBP","CS","GO","AO","G/F","SB%","TA","SSA"
"  陳 皓 然 ","中信兄弟","一軍",7,20,19,2,1,6,4,2,0,0,8,6,0,0.35,0.421,0.316,0,0,0,1,0,0,0,5,2,2.5,0,0.692,333.79
"  陳 雁 風 ","Lamigo","二軍",31,66,65,6,10,19,15,4,0,0,23,19,0,0.303,0.354,0.292,1,0,0,1,0,0,2,13,14,0.929,0,0.49,345.31
"  陳 鏞 基 ","統一7-ELEVEn","一軍",93,412,371,88,75,124,86,19,0,19,200,81,9,0.393,0.539,0.334,5,0,3,34,0,4,2,72,97,0.742,0.818,0.972,1354.23
"  彭 政 閔 ","中信兄弟","一軍",86,321,274,52,47,92,72,14,0,6,124,37,3,0.408,0.453,0.336,13,0,8,35,0,4,1,70,83,0.843,0.75,0.847,839.77
"  曾 陶 鎔 ","中信兄弟","二軍",22,54,49,3,10,13,7,6,0,0,19,21,0,0.315,0.388,0.265,3,0,1,1,0,3,0,10,6,1.667,0,0.59,299.31
"  買 嘉 儀 ","統一7-ELEVEn","二軍",40,105,89,19,16,19,9,5,0,5,39,23,3,0.324,0.438,0.213,5,0,1,10,0,5,0,24,24,1,1,0.76,447.48
"  陽 冠 威 ","義大","一軍",42,125,119,16,13,32,25,4,0,3,45,28,0,0.304,0.378,0.269,1,0,0,4,0,2,0,30,29,1.034,0,0.58,453.91
"  陽 耀 勳 ","Lamigo","一軍",66,291,266,40,58,79,51,10,5,13,138,50,17,0.351,0.519,0.297,4,0,2,19,1,3,2,86,53,1.623,0.895,0.922,894.99
"  馮 健 庭 ","Lamigo","一軍",3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"  黃 恩 賜 ","統一7-ELEVEn","一軍",54,156,146,14,32,45,36,8,1,0,55,37,3,0.34,0.377,0.308,4,0,2,6,0,2,2,41,25,1.64,0.6,0.617,433.22
"  黃 浩 然 ","Lamigo","一軍",44,80,78,9,10,16,11,1,1,3,28,26,0,0.225,0.359,0.205,2,0,0,2,0,0,0,14,22,0.636,0,0.469,338.13
"  黃 智 培 ","義大","二軍",16,47,47,3,7,9,6,2,0,1,14,17,0,0.191,0.298,0.191,2,0,0,0,0,0,1,14,7,2,0,0.341,240.49
"  楊 岱 均 ","Lamigo","二軍",3,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
"  楊 承 駿 ","義大","一軍",38,84,76,15,12,17,12,2,0,3,28,28,1,0.272,0.368,0.224,6,3,0,5,0,0,0,23,8,2.875,1,0.523,386.68
"  葉 竹 軒 ","Lamigo","二軍",25,75,65,3,12,14,11,3,0,0,17,13,4,0.301,0.262,0.215,1,2,0,8,0,0,0,15,23,0.652,1,0.558,247.38
"  詹 子 賢 ","中信兄弟","一軍",5,13,11,0,0,2,2,0,0,0,2,1,0,0.308,0.182,0.182,1,0,0,2,0,0,0,3,5,0.6,0,0.4,183.82
"  詹 智 堯 ","Lamigo","二軍",69,228,203,42,36,53,31,14,0,8,91,35,1,0.332,0.448,0.261,6,1,1,20,0,2,0,71,45,1.578,1,0.731,722.08
"  劉 育 辰 ","統一7-ELEVEn","一軍",29,79,70,5,8,15,9,6,0,0,21,16,0,0.286,0.3,0.214,2,2,0,7,0,0,0,20,19,1.053,0,0.491,260.29
"  劉 芙 豪 ","統一7-ELEVEn","一軍",62,175,143,33,25,41,22,11,0,8,76,49,0,0.397,0.531,0.287,6,1,3,26,0,2,4,34,22,1.545,0,0.929,687.71
"  劉 時 豪 ","Lamigo","一軍",48,128,114,12,13,31,26,5,0,0,36,18,2,0.344,0.316,0.272,7,0,1,12,0,1,0,41,25,1.64,1,0.567,367.93
"  潘 武 雄 ","統一7-ELEVEn","一軍",88,377,328,58,65,114,79,15,3,17,186,59,8,0.427,0.567,0.348,7,0,2,42,0,5,2,71,86,0.826,0.8,1.081,1163.56
"  潘 彥 廷 ","統一7-ELEVEn","一軍",2,4,4,2,0,2,1,0,1,0,4,0,0,0.5,1,0.5,0,0,0,0,0,0,0,2,0,0,0,2,514
"  潘 萣 翔 ","中信兄弟","一軍",37,89,80,8,19,24,19,4,0,1,31,19,1,0.349,0.388,0.3,2,3,0,6,0,0,0,23,14,1.643,1,0.655,391
"  蔡 友 達 ","義大","一軍",15,33,31,5,6,8,5,2,0,1,13,14,0,0.303,0.419,0.258,0,0,0,2,0,0,0,3,6,0.5,0,0.652,316.06
"  蔣 智 賢 ","中信兄弟","一軍",80,367,324,102,82,133,78,26,0,29,246,37,2,0.463,0.759,0.41,9,0,6,29,3,5,2,78,82,0.951,0.5,1.411,1746.49
"  鄧 志 偉 ","統一7-ELEVEn","二軍",25,57,47,12,5,10,7,1,0,2,17,14,0,0.316,0.362,0.213,1,0,2,6,0,2,0,7,18,0.389,0,0.658,329.77
"  鄭 達 鴻 ","中信兄弟","二軍",77,226,201,26,26,51,46,4,1,0,57,26,3,0.324,0.284,0.254,8,4,0,19,0,2,2,79,46,1.717,0.6,0.506,440.73
"  鄭 鎧 文 ","統一7-ELEVEn","一軍",88,376,317,65,61,75,32,22,0,21,160,104,2,0.343,0.505,0.237,6,0,5,42,0,12,0,71,72,0.986,1,0.871,1141.59
"  薛 惟 中 ","統一7-ELEVEn","二軍",5,8,7,0,2,2,2,0,0,0,2,2,0,0.375,0.286,0.286,0,0,0,1,0,0,0,1,2,0.5,0,0.6,287.71
"  謝 炫 任 ","Lamigo","二軍",13,46,43,1,4,11,11,0,0,0,11,6,1,0.273,0.256,0.256,0,2,0,1,0,0,1,18,8,2.25,0.5,0.394,271.81
"  鍾 承 祐 ","Lamigo","一軍",11,42,36,8,9,14,8,4,1,1,23,8,2,0.452,0.639,0.389,0,0,1,3,0,2,0,1,14,0.071,1,1.364,471.89
"  藍 寅 倫 ","Lamigo","二軍",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"  羅 國 龍 ","統一7-ELEVEn","一軍",88,371,325,52,75,107,76,21,1,9,157,74,10,0.405,0.483,0.329,9,1,2,39,0,4,3,77,69,1.116,0.769,0.913,926.23
"  羅 國 麟 ","義大","一軍",43,115,105,17,15,30,17,7,0,6,55,32,0,0.348,0.524,0.286,4,0,0,9,0,1,0,18,25,0.72,0,0.823,545.71
"  蘇 智 傑 ","統一7-ELEVEn","一軍",23,91,81,14,16,25,15,5,0,5,45,22,0,0.385,0.556,0.309,1,0,0,9,0,1,1,21,13,1.615,0,0.948,523.64
"  蘇 緯 達 ","中信兄弟","一軍",62,177,155,30,19,44,34,5,0,5,64,45,0,0.354,0.413,0.284,5,2,2,14,1,3,1,32,36,0.889,0,0.701,597.87
" * 飛 力 士 ","統一7-ELEVEn","一軍",5,21,20,4,3,6,3,2,0,1,11,0,0,0.333,0.55,0.3,0,0,0,1,0,0,0,7,7,1,0,0.857,351
